Index,ItemID,OriginalName,Name,Chassis,Tonnage,Class,Type
122,123,jr7-o,JR7-O,JR7,35,LIGHT,HERO
123,124,hgn-733cc,HGN-733C,HGN,90,ASSAULT,NORMAL
124,125,grf-1np,GRF-1N,GRF,55,MEDIUM,NORMAL
125,126,grf-1n,GRF-1N,GRF,55,MEDIUM,NORMAL
126,127,grf-1s,GRF-1S,GRF,55,MEDIUM,NORMAL
127,128,grf-3m,GRF-3M,GRF,55,MEDIUM,NORMAL
128,129,wvr-6rp,WVR-6R,WVR,55,MEDIUM,NORMAL
129,130,wvr-6r,WVR-6R,WVR,55,MEDIUM,NORMAL
130,131,wvr-6k,WVR-6K,WVR,55,MEDIUM,NORMAL
131,132,wvr-7k,WVR-7K,WVR,55,MEDIUM,NORMAL
132,133,hbk-gi,HBK-GI,HBK,50,MEDIUM,HERO
133,134,cda-2ac,CDA-2A,CDA,40,MEDIUM,NORMAL
134,135,hbk-gi2,HBK-GI,HBK,50,MEDIUM,HERO
135,136,stk-3fc,STK-3F,STK,85,ASSAULT,NORMAL
136,137,fs9-e,FS9-E,FS9,35,LIGHT,HERO
137,138,fs9-s,FS9-S,FS9,35,LIGHT,NORMAL
138,139,fs9-a,FS9-A,FS9,35,LIGHT,NORMAL
139,140,fs9-h,FS9-H,FS9,35,LIGHT,NORMAL
140,141,fs9-k,FS9-K,FS9,35,LIGHT,NORMAL
141,142,ctf-3dc,CTF-3D,CTF,70,HEAVY,NORMAL
142,143,bnc-lm,BNC-LM,BNC,95,ASSAULT,HERO
143,144,bnc-3e,BNC-3E,BNC,95,ASSAULT,NORMAL
144,145,bnc-3m,BNC-3M,BNC,95,ASSAULT,NORMAL
145,146,bnc-3s,BNC-3S,BNC,95,ASSAULT,NORMAL
146,147,vtr-9sc,VTR-9S,VTR,80,ASSAULT,NORMAL
147,148,rvn-h,RVN-H,RVN,35,LIGHT,HERO
148,149,blr-3m,BLR-3M,BLR,85,ASSAULT,NORMAL
149,150,blr-3s,BLR-3S,BLR,85,ASSAULT,NORMAL
150,151,lct-1e,LCT-1E,LCT,20,LIGHT,NORMAL
151,152,lct-1m,LCT-1M,LCT,20,LIGHT,NORMAL
152,153,shd-2d,SHD-2D,SHD,55,MEDIUM,NORMAL
153,154,shd-2k,SHD-2K,SHD,55,MEDIUM,NORMAL
154,155,tdr-9s,TDR-9S,TDR,65,HEAVY,NORMAL
155,156,on1-kc,ON1-K,ON1,75,HEAVY,NORMAL
156,157,tbt-lg,TBT-LG,TBT,50,MEDIUM,HERO
157,158,qkd-iv4,QKD-IV4,QKD,60,HEAVY,HERO
158,159,bj-a,BJ-A,BJ,45,MEDIUM,HERO
159,160,fs9-sc,FS9-S,FS9,35,LIGHT,NORMAL
160,161,shd-2hc,SHD-2H,SHD,55,MEDIUM,NORMAL
161,162,tbr-primei,TBR-PRIME,TBR,75,HEAVY,NORMAL
162,163,tbr-prime,TBR-PRIME,TBR,75,HEAVY,NORMAL
163,164,tbr-c,TBR-C,TBR,75,HEAVY,NORMAL
164,165,tbr-s,TBR-S,TBR,75,HEAVY,NORMAL
165,166,adr-primei,ADR-PRIME,ADR,35,LIGHT,NORMAL
166,167,adr-prime,ADR-PRIME,ADR,35,LIGHT,NORMAL
167,168,adr-a,ADR-A,ADR,35,LIGHT,NORMAL
168,169,adr-d,ADR-D,ADR,35,LIGHT,NORMAL
169,170,dwf-primei,DWF-PRIME,DWF,100,ASSAULT,NORMAL
170,171,dwf-prime,DWF-PRIME,DWF,100,ASSAULT,NORMAL
171,172,dwf-a,DWF-A,DWF,100,ASSAULT,NORMAL
172,173,dwf-b,DWF-B,DWF,100,ASSAULT,NORMAL
173,174,kfx-primei,KFX-PRIME,KFX,30,LIGHT,NORMAL
174,175,kfx-prime,KFX-PRIME,KFX,30,LIGHT,NORMAL
175,176,kfx-d,KFX-D,KFX,30,LIGHT,NORMAL
176,177,kfx-s,KFX-S,KFX,30,LIGHT,NORMAL
177,178,nva-primei,NVA-PRIME,NVA,50,MEDIUM,NORMAL
178,179,nva-prime,NVA-PRIME,NVA,50,MEDIUM,NORMAL
179,180,nva-b,NVA-B,NVA,50,MEDIUM,NORMAL
180,181,nva-s,NVA-S,NVA,50,MEDIUM,NORMAL
181,182,scr-primei,SCR-PRIME,SCR,55,MEDIUM,NORMAL
182,183,scr-prime,SCR-PRIME,SCR,55,MEDIUM,NORMAL
183,184,scr-c,SCR-C,SCR,55,MEDIUM,NORMAL
184,185,scr-d,SCR-D,SCR,55,MEDIUM,NORMAL
185,186,smn-primei,SMN-PRIME,SMN,70,HEAVY,NORMAL
186,187,smn-prime,SMN-PRIME,SMN,70,HEAVY,NORMAL
187,188,smn-b,SMN-B,SMN,70,HEAVY,NORMAL
188,189,smn-d,SMN-D,SMN,70,HEAVY,NORMAL
189,190,whk-primei,WHK-PRIME,WHK,85,ASSAULT,NORMAL
190,191,whk-prime,WHK-PRIME,WHK,85,ASSAULT,NORMAL
191,192,whk-a,WHK-A,WHK,85,ASSAULT,NORMAL
192,193,whk-b,WHK-B,WHK,85,ASSAULT,NORMAL
193,194,tbr-primeg,TBR-PRIME,TBR,75,HEAVY,NORMAL
194,195,adr-primeg,ADR-PRIME,ADR,35,LIGHT,NORMAL
195,196,dwf-primeg,DWF-PRIME,DWF,100,ASSAULT,NORMAL
196,197,kfx-primeg,KFX-PRIME,KFX,30,LIGHT,NORMAL
197,198,nva-primeg,NVA-PRIME,NVA,50,MEDIUM,NORMAL
198,199,scr-primeg,SCR-PRIME,SCR,55,MEDIUM,NORMAL
199,200,smn-primeg,SMN-PRIME,SMN,70,HEAVY,NORMAL
200,201,whk-primeg,WHK-PRIME,WHK,85,ASSAULT,NORMAL
201,202,kto-18c,KTO-18,KTO,55,MEDIUM,NORMAL
202,203,sdr-a,SDR-A,SDR,30,LIGHT,HERO
203,204,blr-1ghe,BLR-1GHE,BLR,85,ASSAULT,HERO
204,205,vnd-1sib,VND-1SIB,VND,45,MEDIUM,HERO
205,206,vnd-1r,VND-1R,VND,45,MEDIUM,NORMAL
206,207,vnd-1aa,VND-1AA,VND,45,MEDIUM,NORMAL
207,208,vnd-1x,VND-1X,VND,45,MEDIUM,NORMAL
208,209,qkd-4gc,QKD-4G,QKD,60,HEAVY,NORMAL
209,210,grf-1e,GRF-1E,GRF,55,MEDIUM,HERO
210,211,mdd-primei,MDD-PRIME,MDD,60,HEAVY,NORMAL
211,212,mdd-prime,MDD-PRIME,MDD,60,HEAVY,NORMAL
212,213,mdd-a,MDD-A,MDD,60,HEAVY,NORMAL
213,214,mdd-b,MDD-B,MDD,60,HEAVY,NORMAL
214,215,tbt-7mc,TBT-7M,TBT,50,MEDIUM,NORMAL
215,216,as7-s,AS7-S,AS7,100,ASSAULT,NORMAL
216,217,tdr-9sec,TDR-9SE,TDR,65,HEAVY,NORMAL
217,218,ifr-primei,IFR-PRIME,IFR,45,MEDIUM,NORMAL
218,219,ifr-prime,IFR-PRIME,IFR,45,MEDIUM,NORMAL
219,220,ifr-a,IFR-A,IFR,45,MEDIUM,NORMAL
220,221,ifr-c,IFR-C,IFR,45,MEDIUM,NORMAL
221,222,lct-pb,LCT-PB,LCT,20,LIGHT,HERO
222,223,shd-gd,SHD-GD,SHD,55,MEDIUM,HERO
223,224,mlx-primei,MLX-PRIME,MLX,25,LIGHT,NORMAL
224,225,mlx-prime,MLX-PRIME,MLX,25,LIGHT,NORMAL
225,226,mlx-b,MLX-B,MLX,25,LIGHT,NORMAL
226,227,mlx-c,MLX-C,MLX,25,LIGHT,NORMAL
227,228,rvn-3lc,RVN-3L,RVN,35,LIGHT,NORMAL
228,229,hbr-primei,HBR-PRIME,HBR,65,HEAVY,NORMAL
229,230,hbr-prime,HBR-PRIME,HBR,65,HEAVY,NORMAL
230,231,hbr-a,HBR-A,HBR,65,HEAVY,NORMAL
231,232,hbr-b,HBR-B,HBR,65,HEAVY,NORMAL
232,233,gar-primei,GAR-PRIME,GAR,80,ASSAULT,NORMAL
233,234,gar-prime,GAR-PRIME,GAR,80,ASSAULT,NORMAL
234,235,gar-a,GAR-A,GAR,80,ASSAULT,NORMAL
235,236,gar-d,GAR-D,GAR,80,ASSAULT,NORMAL
236,237,kgc-000l,KGC-000,KGC,100,ASSAULT,NORMAL
237,238,kgc-000,KGC-000,KGC,100,ASSAULT,NORMAL
238,239,kgc-0000,KGC-0000,KGC,100,ASSAULT,NORMAL
239,240,kgc-000b,KGC-000B,KGC,100,ASSAULT,NORMAL
240,241,as7-s-std,AS7-S,AS7,100,ASSAULT,NORMAL
241,242,cn9-ah-std,CN9-AH,CN9,50,MEDIUM,NORMAL
242,243,pnt-10kr,PNT-10K,PNT,35,LIGHT,NORMAL
243,244,pnt-10k,PNT-10K,PNT,35,LIGHT,NORMAL
244,245,pnt-8z,PNT-8Z,PNT,35,LIGHT,NORMAL
245,246,pnt-9r,PNT-9R,PNT,35,LIGHT,NORMAL
246,247,enf-5dr,ENF-5D,ENF,50,MEDIUM,NORMAL
247,248,enf-5d,ENF-5D,ENF,50,MEDIUM,NORMAL
248,249,enf-4r,ENF-4R,ENF,50,MEDIUM,NORMAL
249,250,enf-5p,ENF-5P,ENF,50,MEDIUM,NORMAL
250,251,bnc-3mc,BNC-3M,BNC,95,ASSAULT,NORMAL
251,252,ghr-5jr,GHR-5J,GHR,70,HEAVY,NORMAL
252,253,ghr-5j,GHR-5J,GHR,70,HEAVY,NORMAL
253,254,ghr-5h,GHR-5H,GHR,70,HEAVY,NORMAL
254,255,ghr-5n,GHR-5N,GHR,70,HEAVY,NORMAL
255,256,zeu-6sr,ZEU-6S,ZEU,80,ASSAULT,NORMAL
256,257,zeu-6s,ZEU-6S,ZEU,80,ASSAULT,NORMAL
257,258,zeu-6t,ZEU-6T,ZEU,80,ASSAULT,NORMAL
258,259,zeu-9s,ZEU-9S,ZEU,80,ASSAULT,NORMAL
259,260,adr-b,ADR-B,ADR,35,LIGHT,NORMAL
260,261,dwf-s,DWF-S,DWF,100,ASSAULT,NORMAL
261,262,gar-c,GAR-C,GAR,80,ASSAULT,NORMAL
262,263,ifr-d,IFR-D,IFR,45,MEDIUM,NORMAL
263,264,kfx-c,KFX-C,KFX,30,LIGHT,NORMAL
264,265,mdd-c,MDD-C,MDD,60,HEAVY,NORMAL
265,266,mlx-a,MLX-A,MLX,25,LIGHT,NORMAL
266,267,nva-a,NVA-A,NVA,50,MEDIUM,NORMAL
267,268,scr-a,SCR-A,SCR,55,MEDIUM,NORMAL
268,269,smn-c,SMN-C,SMN,70,HEAVY,NORMAL
269,270,tbr-d,TBR-D,TBR,75,HEAVY,NORMAL
270,271,whk-c,WHK-C,WHK,85,ASSAULT,NORMAL
271,272,grf-1sc,GRF-1S,GRF,55,MEDIUM,NORMAL
272,273,wvr-6kc,WVR-6K,WVR,55,MEDIUM,NORMAL
273,274,um-r63s,UM-R63,UM,30,LIGHT,NORMAL
274,275,um-r63,UM-R63,UM,30,LIGHT,NORMAL
275,276,um-r60,UM-R60,UM,30,LIGHT,NORMAL
276,277,um-r60l,UM-R60L,UM,30,LIGHT,NORMAL
277,278,jm6-ac,JM6-A,JM6,65,HEAVY,NORMAL
278,279,ebj-primei,EBJ-PRIME,EBJ,65,HEAVY,NORMAL
279,280,ebj-prime,EBJ-PRIME,EBJ,65,HEAVY,NORMAL
280,281,ebj-a,EBJ-A,EBJ,65,HEAVY,NORMAL
281,282,ebj-b,EBJ-B,EBJ,65,HEAVY,NORMAL
282,283,ebj-c,EBJ-C,EBJ,65,HEAVY,NORMAL
283,284,exe-primei,EXE-PRIME,EXE,95,ASSAULT,NORMAL
284,285,exe-prime,EXE-PRIME,EXE,95,ASSAULT,NORMAL
285,286,exe-a,EXE-A,EXE,95,ASSAULT,NORMAL
286,287,exe-b,EXE-B,EXE,95,ASSAULT,NORMAL
287,288,exe-d,EXE-D,EXE,95,ASSAULT,NORMAL
288,289,tdr-5s-t,TDR-5S-T,TDR,65,HEAVY,HERO
289,290,ach-primei,ACH-PRIME,ACH,30,LIGHT,NORMAL
290,291,ach-prime,ACH-PRIME,ACH,30,LIGHT,NORMAL
291,292,ach-a,ACH-A,ACH,30,LIGHT,NORMAL
292,293,ach-b,ACH-B,ACH,30,LIGHT,NORMAL
293,294,ach-c,ACH-C,ACH,30,LIGHT,NORMAL
294,295,shc-primei,SHC-PRIME,SHC,45,MEDIUM,NORMAL
295,296,shc-prime,SHC-PRIME,SHC,45,MEDIUM,NORMAL
296,297,shc-a,SHC-A,SHC,45,MEDIUM,NORMAL
297,298,shc-b,SHC-B,SHC,45,MEDIUM,NORMAL
298,299,shc-p,SHC-P,SHC,45,MEDIUM,NORMAL
299,300,grf-2n,GRF-2N,GRF,55,MEDIUM,NORMAL
300,301,hgn-732b,HGN-732B,HGN,90,ASSAULT,NORMAL
301,302,lct-3v,LCT-3V,LCT,20,LIGHT,NORMAL
302,303,dwf-w,DWF-W,DWF,100,ASSAULT,NORMAL
303,304,gar-b,GAR-B,GAR,80,ASSAULT,NORMAL
304,305,ifr-b,IFR-B,IFR,45,MEDIUM,NORMAL
305,306,mlx-d,MLX-D,MLX,25,LIGHT,NORMAL
306,307,nva-c,NVA-C,NVA,50,MEDIUM,NORMAL
307,308,scr-b,SCR-B,SCR,55,MEDIUM,NORMAL
308,309,tbr-a,TBR-A,TBR,75,HEAVY,NORMAL
309,310,blr-2c,BLR-2C,BLR,85,ASSAULT,NORMAL
310,311,ctf-0xp,CTF-0XP,CTF,70,HEAVY,NORMAL
311,312,pnt-10p,PNT-10P,PNT,35,LIGHT,NORMAL
312,313,enf-4p,ENF-4P,ENF,50,MEDIUM,NORMAL
313,314,ghr-5p,GHR-5P,GHR,70,HEAVY,NORMAL
314,315,zeu-5s,ZEU-5S,ZEU,80,ASSAULT,NORMAL
315,316,wvr-q,WVR-Q,WVR,55,MEDIUM,HERO
316,317,enf-4rc,ENF-4R,ENF,50,MEDIUM,NORMAL
317,318,tbr-cc,TBR-C,TBR,75,HEAVY,NORMAL
318,319,bl-6-kntr,BL-6-KNT,BL-KNT,75,HEAVY,NORMAL
319,320,bl-6-knt,BL-6-KNT,BL-KNT,75,HEAVY,NORMAL
320,321,bl-6b-knt,BL-6B-KNT,BL-KNT,75,HEAVY,NORMAL
321,322,bl-7-knt,BL-7-KNT,BL-KNT,75,HEAVY,NORMAL
322,323,bl-7-knt-l,BL-7-KNT-L,BL-KNT,75,HEAVY,NORMAL
323,324,mal-1rr,MAL-1R,MAL,90,ASSAULT,NORMAL
324,325,mal-1r,MAL-1R,MAL,90,ASSAULT,NORMAL
325,326,mal-mx90,MAL-MX90,MAL,90,ASSAULT,NORMAL
326,327,mal-1p,MAL-1P,MAL,90,ASSAULT,NORMAL
327,328,mal-2p,MAL-2P,MAL,90,ASSAULT,NORMAL
328,329,crb-27r,CRB-27,CRB,50,MEDIUM,NORMAL
329,330,crb-27,CRB-27,CRB,50,MEDIUM,NORMAL
330,331,crb-20,CRB-20,CRB,50,MEDIUM,NORMAL
331,332,crb-27b,CRB-27B,CRB,50,MEDIUM,NORMAL
332,333,crb-27sl,CRB-27SL,CRB,50,MEDIUM,NORMAL
333,334,wlf-2r,WLF-2,WLF,35,LIGHT,NORMAL
334,335,wlf-2,WLF-2,WLF,35,LIGHT,NORMAL
335,336,wlf-1,WLF-1,WLF,35,LIGHT,NORMAL
336,337,wlf-1a,WLF-1A,WLF,35,LIGHT,NORMAL
337,338,wlf-1b,WLF-1B,WLF,35,LIGHT,NORMAL
338,339,cda-3fl,CDA-3F,CDA,40,MEDIUM,NORMAL
339,340,wvr-7dl,WVR-7D,WVR,55,MEDIUM,NORMAL
340,341,zeu-9s2l,ZEU-9S2,ZEU,80,ASSAULT,NORMAL
341,342,nva-dl,NVA-D,NVA,50,MEDIUM,NORMAL
342,343,exe-cl,EXE-C,EXE,95,ASSAULT,NORMAL
343,344,mad-3rs,MAD-3R,MAD,75,HEAVY,NORMAL
344,345,mad-3r,MAD-3R,MAD,75,HEAVY,NORMAL
345,346,mad-5d,MAD-5D,MAD,75,HEAVY,NORMAL
346,347,mad-5m,MAD-5M,MAD,75,HEAVY,NORMAL
347,348,mad-bh2,MAD-BH2,MAD,75,HEAVY,HERO
348,349,kgc-000bc,KGC-000B,KGC,100,ASSAULT,NORMAL
349,350,kgc-000bs,KGC-000B,KGC,100,ASSAULT,NORMAL
350,351,ach-primec,ACH-PRIME,ACH,30,LIGHT,NORMAL
351,352,ach-primes,ACH-PRIME,ACH,30,LIGHT,NORMAL
352,353,scr-primec,SCR-PRIME,SCR,55,MEDIUM,NORMAL
353,354,scr-primes,SCR-PRIME,SCR,55,MEDIUM,NORMAL
354,355,dwf-wc,DWF-W,DWF,100,ASSAULT,NORMAL
355,356,dwf-ws,DWF-W,DWF,100,ASSAULT,NORMAL
356,357,rvn-3ls,RVN-3L,RVN,35,LIGHT,NORMAL
357,358,hbk-4ps,HBK-4P,HBK,50,MEDIUM,NORMAL
358,359,tdr-9ses,TDR-9SE,TDR,65,HEAVY,NORMAL
359,360,tbr-cs,TBR-C,TBR,75,HEAVY,NORMAL
360,361,jr7-iico,JR7-IIC,JR7-IIC,35,LIGHT,NORMAL
361,362,jr7-iic,JR7-IIC,JR7-IIC,35,LIGHT,NORMAL
362,363,jr7-iic-2,JR7-IIC-2,JR7-IIC,35,LIGHT,NORMAL
363,364,jr7-iic-3,JR7-IIC-3,JR7-IIC,35,LIGHT,NORMAL
364,365,jr7-iic-a,JR7-IIC-A,JR7-IIC,35,LIGHT,NORMAL
365,366,hbk-iico,HBK-IIC,HBK-IIC,50,MEDIUM,NORMAL
366,367,hbk-iic,HBK-IIC,HBK-IIC,50,MEDIUM,NORMAL
367,368,hbk-iic-a,HBK-IIC-A,HBK-IIC,50,MEDIUM,NORMAL
368,369,hbk-iic-b,HBK-IIC-B,HBK-IIC,50,MEDIUM,NORMAL
369,370,hbk-iic-c,HBK-IIC-C,HBK-IIC,50,MEDIUM,NORMAL
370,371,on1-iico,ON1-IIC,ON1-IIC,75,HEAVY,NORMAL
371,372,on1-iic,ON1-IIC,ON1-IIC,75,HEAVY,NORMAL
372,373,on1-iic-a,ON1-IIC-A,ON1-IIC,75,HEAVY,NORMAL
373,374,on1-iic-b,ON1-IIC-B,ON1-IIC,75,HEAVY,NORMAL
374,375,on1-iic-c,ON1-IIC-C,ON1-IIC,75,HEAVY,NORMAL
375,376,hgn-iico,HGN-IIC,HGN-IIC,90,ASSAULT,NORMAL
376,377,hgn-iic,HGN-IIC,HGN-IIC,90,ASSAULT,NORMAL
377,378,hgn-iic-a,HGN-IIC-A,HGN-IIC,90,ASSAULT,NORMAL
378,379,hgn-iic-b,HGN-IIC-B,HGN-IIC,90,ASSAULT,NORMAL
379,380,hgn-iic-c,HGN-IIC-C,HGN-IIC,90,ASSAULT,NORMAL
380,381,whm-6rs,WHM-6R,WHM,70,HEAVY,NORMAL
381,382,whm-6r,WHM-6R,WHM,70,HEAVY,NORMAL
382,383,whm-6d,WHM-6D,WHM,70,HEAVY,NORMAL
383,384,whm-7s,WHM-7S,WHM,70,HEAVY,NORMAL
